id,place_name,address,p_type,sub_type,contact_number,current_status,website,latitude,longitude,created_at,updated_at,action,bkoi_addr,rev_data
33404,Kailash Parbat Indian Vegetarain,"7551 3803 Al Imam Ali Ibn Abi Taleb, Al Malaz, Riyadh 12832, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 11 PM,kailashparbat.sa,24.6746917,46.7445077,17:37.0,17:37.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33405,Nirala Sweets,"MPGV+JF7, Al Malaz, Riyadh 12832, Saudi Arabia",Food,Sweets,,,,24.6764917,46.7437038,18:13.0,18:13.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33406,Ghazi Resturant,"MPGV+R9Q, Al Imam Ali Ibn Abi Taleb, Al Malaz, Riyadh 12832, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 11:30 PM,,24.6770999,46.7434895,19:19.0,19:19.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33407,Mataem Durrat Al Tayseer lil Mashwiyat wal Bahriyat,"7998 طريق علي بن ابي طالب،, Al Malaz, Riyadh 12832, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 2 AM,doraaltyseer.foodics.online,24.678767,46.7428039,21:26.0,21:26.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33408,Mat'am Badour Mohammed Ibrahim Al Sakaker Restaurant,"8077 Ibn Ar Ramli, Al Malaz, 3424, Riyadh 12832, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 7 PM,,24.6794933,46.7405533,22:41.0,22:41.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33363,Spears Middle East Co Ltd,"MPHH+JHH, Umar Ibn Abdul Aziz Br Rd, Al Malaz, Riyadh 11421, Saudi Arabia",Office,Office,,Open ⋅ Closes 5 PM,spears-me.com,24.6790608,46.7289774,12:32.0,12:32.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33376,Al Mas Family Restaurant,"Near National Care Hospital, Al Hawwari, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 12 AM,,24.6781631,46.7275555,27:10.0,27:10.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33400,Sham Zaman,"Jarir St, Jarir, Riyadh 12832, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 12 AM,,24.6724528,46.7394635,06:52.0,06:52.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33409,Ceylon Resturant,"7960 شارع مصعب بن عمير،, Al Malaz, Riyadh 12832, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 12 AM,,24.6783258,46.7409796,23:04.0,23:04.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33411,Ayskirim Dhikraa,"MPGQ+F2X, Al Malaz, Riyadh 12832, Saudi Arabia",Food,Ice Cream Parlour,,,,24.6758611,46.7376389,26:52.0,26:52.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33528,Prince Miteb bin Abdulaziz Al Saud Masjid,"MQ62+93X, Al Imam Ali Ibn Abi Taleb, Al Malaz, Riyadh 12842, Saudi Arabia",Religious Place,Masjid,,,,24.6609999,46.7502487,52:46.0,52:46.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33364,Mille Feuille Bakery,"Umar Ibn Abdul Aziz Br Rd, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Bakery,+966 55 123 4498,Open ⋅ Closes 12 AM,millefeuilleksa.com,24.6791005,46.7291039,13:04.0,13:04.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33377,Almas Juice and Falooda Center,"2112 Al Hawwari, Al Malaz, REMC7918, 7918, Riyadh 12831, Saudi Arabia",Food,Juice Bar,,,,24.6780629,46.7275437,27:37.0,27:37.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33410,Amal Fast Food Lulu Restaurant,"7936 Mosab Ibn Umair St, Al Malaz, 3420, Riyadh 12832, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 11:30 PM,,24.677977,46.740524,24:02.0,24:02.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33412,Zoo Grill Resturant,"MPGP+RFX, Al Ihsaa, Al Malaz, Riyadh 12832, Saudi Arabia",Food,Restaurant,,Open 24 hours,,24.6771002,46.7362314,27:45.0,27:45.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33413,KUDU,"3026 Al Ihsaa, Al Malaz, 7799, Riyadh 12832, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 4 PM,,24.677127,46.7366494,29:09.0,29:09.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33414,Yellow Cab Pizza Co,"3026 Al Ihsaa, Al Malaz, 7799, Riyadh 12832, Saudi Arabia",Food,Pizza Place,,Open ⋅ Closes 6:30 PM,,24.6770551,46.7365922,29:49.0,29:49.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33415,Cafe du Jardin,"MPGP+QJ3, Al Malaz, Riyadh 12832, Saudi Arabia",Food,Cafe,,,,24.6768921,46.736561,30:14.0,30:14.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33416,Aseerat Al Dhahiya,"3084 Al Ihsaa, Al Malaz، REMB7801، 7801, Riyadh 12832, Saudi Arabia",Food,Cafe,,,,24.6769582,46.7370733,31:26.0,31:26.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33417,Al Nahdi Pharmacy,"Al Malaz, Riyadh 12831, Saudi Arabia",Shop,Pharmacy,,Open ⋅ Closes 3 AM,nahdionline.com,24.677639,46.727115,38:00.0,38:00.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33529,Ramdoun HK International Group,"Salah Ad Din Al Ayyubi Rd, Al Malaz, Riyadh 12842, Saudi Arabia",Office,Corporate Office,+966 11 473 6600,Open ⋅ Closes 9 PM,rhkigl.com,24.66248,46.746049,53:24.0,53:24.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33365,Infix Advertising,"MPHH+HH9, Al Malaz, Riyadh 12831, Saudi Arabia",Office,Advertising Agency,+966 11 476 7347,Open ⋅ Closes 4:30 AM Mon,infixad.com,24.6789248,46.7289819,13:30.0,13:30.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33378,Dusru,"7933 Salah Ad Din Al Ayyubi Rd, 2056, Riyadh 12831, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 11:30 PM,,24.6783054,46.7270264,27:57.0,27:57.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33418,Lorenzo Pizza,"MPGG+9XV, Salah Ad Din Ayyubi Rd, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Pizza Place,,Open ⋅ Closes 2 AM,lorenzo.com.sa,24.6759143,46.7274222,40:04.0,40:04.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33379,Taste India Restaurant,"Al Mutanabbi, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 11:30 PM,tasteinr.com,24.6745343,46.729668,28:23.0,28:23.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33419,Al Dawaa Pharmacy,"MPHM+7W8، 2839 شارع الأحساء, Al Malaz، REMA7930, 7930 Al Ihsaa, Riyadh 12831, Saudi Arabia",Shop,Pharmacy,,Open ⋅ Closes 1 AM,al-dawaa.com,24.6781671,46.7347807,40:49.0,40:49.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33380,Delicious Meal At Serendib Restaurant,"7394 Rafi Ibn Al Ali، 2413-2447, Riyadh 12831, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 11:30 PM,,24.673555,46.7308504,28:42.0,28:42.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33420,Zoo Pharmacy,"7816 Mosab Ibn Umair St, 3327, Al Malaz, Riyadh 12832, Saudi Arabia",Shop,Pharmacy,,Open ⋅ Closes 11:45 PM,,24.6771449,46.7397016,46:07.0,46:07.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33381,Zafaran Al Arab Restaurant,"12831, Riyadh 12831, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 1 AM,,24.6732968,46.7295134,29:34.0,29:34.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33421,Zahrat Alrwadah Pharmacy,"8011 Mosab Ibn Umair St, Al Malaz, Riyadh 12833, Saudi Arabia",Shop,Pharmacy,,Open ⋅ Closes 3 AM,,24.6791937,46.742498,47:46.0,47:46.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33382,Thambis Restaurant & Cafe,"Al Shawiar, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 11:30 PM,,24.671785,46.7300748,29:56.0,29:56.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33422,Cafe Al Malaz,"4873 Prince Fahad Ibn Ibrahim Al Saud St, Al Malaz, 6563، Riyadh 12627, Saudi Arabia",Food,Restaurant,,,,24.6697337,46.7279099,49:59.0,49:59.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
